loan_status,loan_amnt,term,int_rate,installment,emp_length,is_mortgage,is_rent,is_own,is_any,is_other,annual_inc,verification_status,is_verified,is_not_verified,is_source_verified,issue_d,dti,fico_range_low,fico_range_high,open_acc,pub_rec,revol_bal,revol_util,mort_acc,pub_rec_bankruptcies,age,pay_status,id_x,name_x,id_y,name_y,id_x,name_x,id_y,name_y
1,35000.0,60,17.86,886.11,4.0,1,0,0,0,0,0,Verified,1,0,0,2015-01-02 00:00:00,22.2,740.0,744,18,0,31705,64.6,2.0,0.0,27,2,1,MORTGAGE,,,,,20,D5
1,25000.0,60,14.85,592.79,10.0,0,1,0,0,0,0,Not Verified,0,1,0,2016-01-01 00:00:00,31.42,,709,14,0,38312,75.6,0.0,0.0,29,-1,2,RENT,,,,,15,C5
0,5000.0,36,10.15,161.69,,1,0,0,0,0,0,Verified,1,0,0,2014-01-05 00:00:00,24.89,660.0,664,8,1,4859,51.1,3.0,1.0,33,0,1,MORTGAGE,,,,,7,B2
0,22000.0,60,15.59,530.22,10.0,1,0,0,0,0,0,Not Verified,0,1,0,2016-01-09 00:00:00,15.8,675.0,679,15,1,17824,52.0,2.0,0.0,36,0,1,MORTGAGE,,,,,15,C5
0,25000.0,36,6.89,770.68,,0,0,1,0,0,0,Verified,1,0,0,2015-01-07 00:00:00,16.01,,739,15,0,50115,37.9,2.0,0.0,56,-1,3,OWN,,,,,3,A3
0,10400.0,36,18.45,378.34,10.0,0,1,0,0,0,0,Not Verified,0,1,0,2018-01-06 00:00:00,36.84,725.0,729,5,0,28652,88.4,0.0,0.0,36,0,2,RENT,,,,,17,D2
0,10000.0,36,13.59,339.79,2.0,1,0,0,0,0,0,Verified,1,0,0,2017-01-09 00:00:00,27.0,695.0,699,11,1,10531,47.9,0.0,0.0,28,0,1,MORTGAGE,,,,,12,C2
1,16000.0,60,10.49,343.83,10.0,1,0,0,0,0,0,Source Verified,0,0,1,2014-01-12 00:00:00,17.96,665.0,669,12,0,13789,50.0,0.0,0.0,26,0,1,MORTGAGE,,,,,8,B3
1,12075.0,36,18.84,441.65,0.0,0,1,0,0,0,0,Source Verified,0,0,1,2015-01-03 00:00:00,17.28,665.0,669,5,0,7795,50.9,0.0,0.0,31,0,2,RENT,,,,,22,E2
0,15000.0,36,7.59,467.22,10.0,1,0,0,0,0,0,Not Verified,0,1,0,2016-01-10 00:00:00,11.77,755.0,759,15,0,35233,42.5,3.0,0.0,33,0,1,MORTGAGE,,,,,3,A3
0,25000.0,36,6.24,763.28,10.0,1,0,0,0,0,0,Source Verified,0,0,1,2015-01-09 00:00:00,16.45,720.0,724,15,0,28571,39.8,3.0,0.0,50,-1,1,MORTGAGE,,,,,2,A2
0,10000.0,60,14.09,233.15,3.0,1,0,0,0,0,0,Verified,1,0,0,2012-01-07 00:00:00,19.56,710.0,714,15,0,9169,64.6,1.0,0.0,40,-1,1,MORTGAGE,,,,,10,B5
0,19500.0,36,6.49,597.57,5.0,1,0,0,0,0,0,Not Verified,0,1,0,2014-01-07 00:00:00,9.98,705.0,709,8,0,9311,48.7,2.0,0.0,29,1,1,MORTGAGE,,,,,2,A2
0,10000.0,36,9.91,322.25,10.0,1,0,0,0,0,0,Source Verified,0,0,1,2012-01-01 00:00:00,11.22,,729,8,0,8734,67.2,0.0,0.0,28,0,1,MORTGAGE,,,,,6,B1
